fecha	hora_colocacion 	hora_retiro	sexo	ubicacion	codigo_palma	numero_trampas	posicion_GPS	estado	Fecha_apertura	dia_despues_antesis	SYLV1	ND2	ND3	ND4	ND5	MONO1	PTIL1	ND8	OTROS ND	ST1	ST2	ST3	ST4	ST5	ST6	ST7	ST8	ST9	ST10	ST11	ST12	ST13	ST14	ST15	ST16	OTROS ST	CU1_4	CU2-CU5	CU3_9	CU6	CU7	CU10	OTROS CU	SCO1	SCO2	SCO3	SCO4	SCO5	CHRY1	CHRY2	CHRY3	CHRY4	CHRY5	CHRY6	OTROS CHRY	CARA1	DYN1	DYN2	DYN3	HIST1	HIST2	DERM1	DERM2	DERM3	OTROS COLEOPTEROS	HYM1	HYM2	HYM3	HYM4	HYM5	HYM6	HYM7	HYM8	HYMA	HYMB	HYMC	HYMD	HYME	HYMF	HYMG	HYMH	OTROS HYM 	D1	D2	D3	D4	D5
2021.08.12	12:00	18:00	Femenino	Bosque	B-002_F	a					0	1	0	0	1	0	8	0	0	0	0	0	0	64	0	0	0	0	0	0	1	0	0	0	0	0	1	4	4	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.13	18:00	08:00	Femenino	Bosque	B-002_F	a					2	0	1	2	1	0	0	0	0	0	0	0	3	52	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.01	18:00	08:30	Masculino	Bosque	B-010_M	a					12	2	2	3	13	0	13	0	0	0	2	0	0	27	39	2	0	3	0	0	2	0	2	0	1	0	15	20	16	0	0	0	0	0	0	0	0	0	3	7	8	0	0	2	0	0	2	0	0	433	0	0	1	0	0	18	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	3	1	0
2021.08.02	12:00	18:00	Masculino	Bosque	B-010_M	a					2	0	0	0	0	0	10	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.02	08:00	12:30	Masculino	Bosque	B-010_M	a					3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.03	12:00	18:00	Masculino	Bosque	B-010_M	a					1	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2021.08.03	08:00	12:40	Masculino	Bosque	B-010_M	a					1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.03	18:00	08:10	Masculino	Bosque	B-010_M	a					0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.18	18:00	07:40	Masculino	Bosque	B-010_M	b					1	1	0	0	187	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.04	18:00	08:30	Femenino	Pastizal	"P00 ""X1"""	a					11	0	25	17	110	0	2	0	0	0	0	0	1	287	5	0	0	0	0	0	3	0	1	0	0	0	25	52	16	4	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
2021.08.05	08:00	12:20	Femenino	Pastizal	"P00 ""X1"""	a					8	2	10	1	25	0	3	0	0	0	0	0	26	191	0	0	0	0	0	0	0	0	0	0	0	0	70	54	12	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
2021.08.04	12:00	18:00	Femenino	Pastizal	"P00 ""X1"""	a					0	2	9	0	2	0	10	2	0	0	1	0	1	24	1	4	0	9	0	0	1	0	6	0	0	0	8	1	2	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	108	1	0	0	0	0	1	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
